timestamp,file,entities,clauses,base,escalation,days,total
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CO; D,1000000,0,0,1000000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CO; D,1000000,0,0,1000000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AF; AU; AX; BE; BP; CO; D; HJ; XXII,5575000,0,0,5575000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AF; AU; AX; BE; BP; CO; D; HJ; XXII,5575000,0,0,5575000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AU; D,500000,0,0,500000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CU-1; CU-2; CU-3,170000,0,0,170000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CU-1; CU-2; CU-3; CU-4,220000,0,0,220000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CU-1; CU-1.4; CU-2; CU-3; CU-4,370000,0,0,370000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CU-1.4; CU-2; CU-2.1; CU-3; CU-4,305000,0,0,305000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CU-1.4; CU-2.1; CU-2.3; CU-3; CU-4,265000,0,0,265000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),CU-1.4; CU-2.1; CU-2.3; CU-4; D,210000,0,0,210000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AF; CU-1.4; CU-2.1; CU-2.3; D,235000,0,0,235000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AF; CU-2.1; CU-2.3; D; G-6,135000,0,0,135000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AF; CU-2.3; D; G-6; G-7,150000,0,0,150000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AF; BE; D; G-6; G-7,150000,0,0,150000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AF; BE; BP; G-6; G-7,150000,0,0,150000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AX; BE; BP; G-6; G-7,325000,0,0,325000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AU; AX; BE; BP; G-7,775000,0,0,775000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AU; AX; BE; BP; CO,1750000,0,0,1750000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AU; AX; BP; CO; HJ,4750000,0,0,4750000
2025-06-10T22:10:58,hem_engine.py,(unlisted entity),AU; AX; CO; HJ; XXII,5500000,0,0,5500000
